ts,uid,sa,sp,da,dp,pr,stos,td,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,pkt,byt,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label,te,teDelta,teT,teS
1540469197.400159,CnaDAG3n5r8eiG4su2,192.168.1.132,1900,239.255.255.250,1900,udp,-,160.367579,7536,0,S0,-,-,0,D,24,8208,0,0,-,benign,-,2018-10-25 12:06:37.400158976,0.0,12,43597
1540469198.477548,CkHQfG3B034MyvP3W,192.168.1.132,37653,104.155.18.91,443,tcp,-,78840.329305,25624,22995,OTH,-,-,0,AaDd,3291,157263,2667,129675,-,benign,-,2018-10-25 12:06:38.477547776,1.0773890018463135,12,43598
1540469302.53864,CGm6jB4dXK71ZDWUDh,192.168.1.132,58687,216.239.35.4,123,udp,-,0.114184,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:08:22.538640128,104.0610921382904,12,43702
1540469385.734089,CUrxU238nt0m6yTgKf,192.168.1.132,32893,216.239.35.8,123,udp,-,0.016986,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:09:45.734088960,83.19544887542725,12,43785
1540469418.379528,CAvXOZ3htimWEtglii,192.168.1.132,1900,239.255.255.250,1900,udp,-,384.518261,15072,0,S0,-,-,0,D,48,16416,0,0,-,benign,-,2018-10-25 12:10:18.379527936,32.64543914794922,12,43818
1540469831.265405,CUo9DH2QDnCaBIGjkg,192.168.1.132,52801,192.168.1.1,53,udp,dns,0.036724,34,311,SF,-,-,0,Dd,1,62,1,339,-,benign,-,2018-10-25 12:17:11.265404928,412.8858768939972,12,44231
1540469831.302625,CGQf8t1kjdxB5PHXL4,192.168.1.132,53395,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,5,212,3,144,-,benign,-,2018-10-25 12:17:11.302625024,0.037220001220703125,12,44231
1540469863.253209,CP01y62UX7tbTa1x39,192.168.1.132,1900,239.255.255.250,1900,udp,-,1633.044330,60288,0,S0,-,-,0,D,192,65664,0,0,-,benign,-,2018-10-25 12:17:43.253209088,31.950584173202515,12,44263
1540470081.850824,CfJsUD2NGQvnK2p7Vd,192.168.1.132,58124,216.239.35.12,123,udp,-,0.270332,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:21:21.850824192,218.59761500358582,12,44481
1540470187.222098,CVwKZS98dRvk1jeH2,192.168.1.132,35313,216.239.35.0,123,udp,-,0.111429,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:23:07.222098176,105.3712739944458,12,44587
1540470355.430009,CzbHG4aoHRooWvyMg,192.168.1.132,46064,216.239.35.4,123,udp,-,0.114433,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:25:55.430008832,168.2079107761383,12,44755
1540470419.608808,CbTB0B2ZnnDWLAIml3,192.168.1.132,45230,216.239.35.8,123,udp,-,0.016984,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:26:59.608807936,64.17879915237427,12,44819
1540470731.305747,C2Lv0t2TFb4oOybzrh,192.168.1.132,48230,192.168.1.1,53,udp,dns,0.040227,34,311,SF,-,-,0,Dd,1,62,1,339,-,benign,-,2018-10-25 12:32:11.305746944,311.69693899154663,12,45131
1540470731.346472,CKT1nF2pKxpwesvEtj,192.168.1.132,53396,2.16.60.82,443,tcp,-,0.003497,0,0,SF,-,-,0,ShAFf,4,172,2,92,-,benign,-,2018-10-25 12:32:11.346471936,0.040724992752075195,12,45131
1540471110.727073,CaBoMhYTG8hXEYKUl,192.168.1.132,49002,216.239.35.12,123,udp,-,0.270346,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:38:30.727073024,379.38060092926025,12,45510
1540471275.097352,CNKSzj2AzuaCQBuSsj,192.168.1.132,46411,216.239.35.0,123,udp,-,0.109684,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:41:15.097351936,164.3702790737152,12,45675
1540471418.303992,CQeo6C4faCIKjIhMM3,192.168.1.132,49057,216.239.35.4,123,udp,-,0.114426,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:43:38.303992064,143.2066400051117,12,45818
1540471494.493815,CDoMg14pwYZ0Rylhf1,192.168.1.132,42282,216.239.35.8,123,udp,-,0.016980,48,48,SF,-,-,0,Dd,1,76,1,76,-,benign,-,2018-10-25 12:44:54.493815040,76.18982291221619,12,45894
1540471557.061917,CAb9Gv4xgifq99dLkc,192.168.1.132,1900,239.255.255.250,1900,udp,-,766.048560,28260,0,S0,-,-,0,D,90,30780,0,0,-,benign,-,2018-10-25 12:45:57.061917184,62.56810212135315,12,45957
1540471631.350066,C1NlJjzoaDWwde1ak,192.168.1.132,34110,192.168.1.1,53,udp,dns,0.183145,34,311,SF,-,-,0,Dd,1,62,1,339,-,benign,-,2018-10-25 12:47:11.350065920,74.28814888000488,12,46031
