ts,uid,sa,sp,da,dp,pr,stos,td,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,pkt,byt,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label,te,teDelta,teT,teS
1545403816.8709,CZVKY732XLLAUm01ci,192.168.1.1,40831,192.168.1.195,22,tcp,-,502.919185,952,17192,SF,-,-,0,DdAtaFf,200,11444,184,28048,-,Benign,-,2018-12-21 14:50:16.870899968,0.0,14,53416
1545403816.962094,CrDn63WjJEmrWGjqf,192.168.1.195,41040,185.244.25.235,80,tcp,-,3.139211,0,0,S0,-,-,0,S,3,180,0,0,-,Benign,-,2018-12-21 14:50:16.962094080,0.09119415283203125,14,53416
1545403840.4587,CkR8dc2LOAmAv9mxV4,192.168.1.195,123,147.231.100.5,123,udp,-,0.001496,48,48,SF,-,-,0,Dd,1,76,1,76,-,Benign,-,2018-12-21 14:50:40.458700032,23.49660587310791,14,53440
1545403848.981338,CDrkrSobGYxHhYfth,192.168.1.195,41040,185.244.25.235,80,tcp,http,1.477656,149,128252,SF,-,-,2896,ShADadttcfF,94,5525,96,139044,-,Benign,-,2018-12-21 14:50:48.981338112,8.522638082504272,14,53448
1545403850.554283,CTWZQf2oJSvq6zmPAc,192.168.1.195,41042,185.244.25.235,80,tcp,-,3.147116,0,0,S0,-,-,0,S,3,180,0,0,-,Benign,-,2018-12-21 14:50:50.554283008,1.5729448795318604,14,53450
1545403857.78132,CvyynC4Sabj9BNXFRi,192.168.1.195,41042,185.244.25.235,80,tcp,http,1.305004,151,128348,SF,-,-,5792,ShADadttcfF,96,5699,92,133140,-,Benign,-,2018-12-21 14:50:57.781320192,7.227037191390991,14,53457
1545403859.183341,CWYyiA2sgRijwk2jEd,192.168.1.195,41044,185.244.25.235,80,tcp,http,1.004605,148,91961,SF,-,-,2896,ShADadtcfF,67,4148,65,92453,-,Benign,-,2018-12-21 14:50:59.183341056,1.4020209312438965,14,53459
1545403860.282392,CYttPy2pqOIcen7UDh,192.168.1.195,41046,185.244.25.235,80,tcp,http,4.129647,148,99303,SF,-,-,5792,ShADadtcfF,75,4412,69,97107,-,Benign,-,2018-12-21 14:51:00.282392064,1.0990509986877441,14,53460
1545403864.507242,CYQTGJ1oQvLAxMiUe3,192.168.1.195,41048,185.244.25.235,80,tcp,-,3.114215,0,0,S0,-,-,0,S,3,180,0,0,-,Benign,-,2018-12-21 14:51:04.507241984,4.2248499393463135,14,53464
1545403909.458607,CSrhkJ23yM3J7iD4A3,192.168.1.195,123,147.231.100.5,123,udp,-,0.001495,48,48,SF,-,-,0,Dd,1,76,1,76,-,Benign,-,2018-12-21 14:51:49.458606848,44.95136499404907,14,53509
1545403975.458724,CW3T632dBpgbacAF6j,192.168.1.195,123,147.231.100.5,123,udp,-,0.001495,48,48,SF,-,-,0,Dd,1,76,1,76,-,Benign,-,2018-12-21 14:52:55.458724096,66.00011706352234,14,53575
